Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
186,8,9,28,18,12,12,5,16,18,17,15
33,0,9,28,18,12,12,2,17,18,17,17
239,3,9,28,25,12,12,12,16,25,24,15
47,4,9,28,25,12,12,12,16,25,24,15
18,15,9,28,18,12,12,2,17,13,17,17
84,3,9,28,16,12,12,4,15,16,15,15
23,14,35,28,19,16,16,3,19,19,18,18
58,8,35,28,20,16,16,4,18,20,19,17
54,12,35,28,25,16,16,7,18,25,24,17
65,2,35,28,25,16,16,9,19,25,24,18
47,2,35,28,22,16,16,5,20,22,21,19
215,6,35,28,25,16,16,7,20,25,24,19
45,6,106,28,19,15,15,6,16,19,18,15
86,13,106,28,18,15,15,5,16,18,17,15
12,5,106,28,19,15,15,3,16,19,18,16
97,14,106,28,18,15,15,5,16,18,17,15
25,11,106,28,20,15,15,5,16,20,19,15
228,15,3,28,19,16,16,2,17,19,18,16
241,13,3,28,18,16,16,4,17,18,17,16
144,0,3,28,17,16,16,2,17,17,16,16
129,15,3,28,17,16,16,2,17,17,16,16
40,6,3,28,26,16,16,7,17,19,25,17
134,9,3,28,27,16,16,8,17,20,26,17
23,4,27,28,19,16,16,3,18,19,18,17
105,5,27,28,19,16,16,4,19,19,18,18
128,11,27,28,18,16,16,4,17,18,17,16
123,1,27,28,25,16,16,9,17,25,24,16
35,9,27,28,22,16,16,7,18,22,21,17
93,12,27,28,18,16,16,4,18,18,17,17
155,9,27,28,24,16,16,5,17,24,23,16
101,13,43,28,19,8,8,9,9,19,18,8
149,7,43,28,17,8,8,8,9,17,16,8
207,2,56,28,17,8,8,8,10,17,16,9
224,6,14,28,16,8,8,8,10,16,15,9
198,7,170,28,19,8,8,9,9,19,18,8
203,2,15,28,16,8,8,7,9,16,15,8
159,14,15,28,34,32,8,12,9,34,11,8
230,11,42,28,19,8,8,10,10,19,18,9
94,11,162,28,16,8,8,4,11,16,15,10
67,2,5,28,17,16,2,12,3,17,4,2
19,2,138,28,18,8,8,7,9,18,17,8
66,2,38,28,21,8,8,9,9,21,20,8
38,3,10,28,17,8,8,7,9,17,16,8
54,3,34,28,18,8,8,9,10,18,17,9
43,5,34,28,17,8,8,4,10,17,16,9
234,2,168,28,26,8,8,11,9,22,25,8
235,8,168,28,16,8,8,7,9,16,15,8
123,7,30,58,46,40,40,7,41,46,45,40
244,8,30,58,56,40,40,6,54,56,55,53
156,8,30,58,46,40,40,7,42,46,45,41
206,13,30,58,57,40,40,5,57,57,56,56
157,4,30,58,57,40,40,14,57,57,56,56
232,8,30,58,50,40,40,3,50,50,49,49
120,11,30,58,53,40,40,10,53,53,52,52
36,15,45,58,25,24,24,2,25,25,24,24
249,6,45,58,18,2,2,4,18,18,17,17
234,1,45,58,19,2,2,4,19,19,18,18
58,0,45,58,33,32,32,2,32,33,32,32
205,7,45,58,24,16,16,8,17,24,23,16
134,0,110,58,18,16,16,2,18,11,17,17
60,1,110,58,27,16,16,9,23,27,26,22
145,6,110,58,38,16,16,11,22,38,37,21
211,13,110,58,22,16,16,6,22,22,21,21
125,1,110,58,30,16,16,10,17,30,29,16
151,11,105,58,17,16,4,8,5,17,6,4
219,1,54,58,26,24,6,8,8,26,9,7
129,8,22,58,25,24,6,8,7,25,8,6
42,8,62,58,21,16,16,4,21,21,20,20
81,8,62,58,21,16,16,4,21,21,20,20
180,15,62,58,21,16,16,2,21,21,20,20
184,11,26,58,17,8,8,9,10,17,16,9
118,11,154,58,18,8,8,8,9,18,17,8
181,12,57,58,17,8,8,7,9,17,16,8
254,11,58,58,17,8,8,3,15,17,16,14
62,4,58,58,17,8,8,8,12,17,16,11
160,3,25,58,19,16,16,3,18,19,18,18
24,15,25,58,23,16,16,2,22,23,22,22
3,7,25,58,23,16,16,3,22,23,22,22
15,14,25,58,18,16,16,4,17,18,17,17
195,3,25,58,21,16,16,5,17,21,20,17
52,4,25,58,24,16,16,6,16,17,23,16
101,6,9,58,16,12,12,4,16,16,15,15
147,3,9,58,28,12,12,13,15,28,27,15
183,7,9,58,19,12,12,4,18,19,18,18
220,3,9,58,19,12,12,6,18,19,18,18
127,12,9,58,16,12,12,3,16,16,15,15
13,9,35,58,21,16,16,6,18,21,20,17
250,15,35,58,20,16,16,2,20,20,19,19
